"show_more_reviews_review","show_more_reviews_user"
"The late Deborah Orr’s memoir is full of honesty, grit and an abundance of reflection - both of herself and of the people who comprised her surroundings and those of her family. Orr was born in the 1960s and is therefore a couple of generations ahead of me, so this book actually provided an insight into the generation and cultural attitudes of my own mother, which I didn’t know I needed until now. Motherwell is a candid picture of 20th century working class life, the way money (or lack of) moulds you, and the attitudes of your community define the opportunities you can access. This resonates with me as I’m sure it has with many readers, coming from a de-industrialised city or town which has lost much of its collective identity and leaves little room for academic exploration. Orr’s experience of life as a working class student at a university full of ‘Yah’s’ was only too relatable, currently being in my final year in a similar environment.
At one point in her memoir, Orr reflects upon the feminist movement and the vastness and speed of progression. Having gone into significant detail on the cultural context of gender roles within working class communities, she reminds younger feminists like myself to maintain an awareness of how older generations of feminists have walked through such a different world to the one we now know, so that the achievements we have won in the present day are far more meaningful to those who have known life without them. This was a poignant moment for me as a reader, particularly when reading about some of the many barriers she faced in keeping ahold of her own agency and navigating her education as a girl and young woman.
I believe that the greatest message to gain from Motherwell is that we are undoubtedly all shaped by the immediate world around us. More specifically, we can never undermine the impact of our primary socialising agents (our parents/family) because their words and actions truly do define the course of our lives. For me a great deal of this is found in maturing into adulthood and finally beginning to understand all the ways in which your parents were not perfect, how their own childhood and values affected yours, and how my childhood and values will affect my children’s and so forth.
This memoir is in a sense, an obituary to Deborah Orr and her achievements in the face of great class and gender-based adversity. Every time I saw a mention of Orr’s hopes for her future I sincerely hoped that she had managed to achieve that goal. If Motherwell is anything to go by, she has lived a life well worth celebrating.","Catheryne Alicia"
"A remarkable memoir.
One of my current aims is to read more memoirs, largely prompted by some critically-acclaimed releases such as Laura Cumming’s On Chapel Sands, a book that made my end-of-year highlights in 2019. Motherwell: A Girlhood is a memoir by the late Deborah Orr, the esteemed Guardian journalist who died from breast cancer last year. Rather than documenting Orr’s career in journalism, Motherwell focuses on the author’s childhood, mostly spanning the period from the mid-1960s through to the 1970s and early ‘80s, a time of significant social change in some regions of the UK. Moreover, the book’s title has a dual meaning, representing both the Scottish town near Glasgow where Orr grew up – Motherwell – and the nature of the relationship between Orr and her mother, Win – the latter prompting the question as to whether Win was able to ‘mother well’ when caring for Deborah and her brother, David.
Ostensibly, this memoir is an exploration of Orr’s fractured relationship with Win, the formidable woman who held the reins of power within the Orr household, much to the frustration of Deborah if not the rest of the family. A series of memories and reflections emerge, several of which are connected to ‘the bureau’ an imposing cabinet housing various objects and documents controlled by Win, a serial hoarder. (It is a highly symbolic object, an heirloom ultimately inherited by Deborah and installed in her London home.)
To read the rest of my review, please visit:
https://jacquiwine.wordpress.com/2020...","JacquiWine"
"DNF. Realised I was skim reading at 170 pages and gave up. Bit of a misleading blurb - I got the impression this book would consist mainly of Orr’s life after leaving Motherwell and maybe ruminating on her childhood throughout. Instead, we begin with Orr sorting through items after her parents’ deaths (the bureau trope didn’t work for me) and then the first hundred pages or so are a disorganized jumble of details about her great-grandparents and grandparents, prior to Orr even being born (which reminded me of listening to my grandparents telling me about long dead relatives as a child - utterly boring and irrelevant) before finally reaching Orr’s lifetime, which is focusing on young childhood and generic details of life on the scheme at that.
There’s hints of some kind of traumatic relationship with her parents and brother but only really a few benign instances shown (I’m mindful that I’ve got 100-odd pages unread) and some foreshadowing comments of her adult life. Not having any prior knowledge of Orr, I’m not sure if we are supposed to know what she’s alluding to: I’m now aware she was a successful journo in the UK so assume she has a reasonable profile, but I have no point of reference for any of this. The whole book is tangential and lacks structure. Not sure if this is a finished work or if she died while writing it - either way, needs significant editing. Probably people who are specifically interested in Orr, Scotland or more conventional factual biographies would like this - I like my memoir a bit more personal and literary.","Jules"
"Deborah Orr was a journalist, the first female editor of Weekend magazine and award winning columnist. She died in 2019 aged 57.
This is her memoir about growing up in the North Lanarkshire town of Motherwell, Scotland. Really insightful, brutally honest and authentic, so very sad. Some highlights:
1.) Motherwell was famous for its steel production and like many industrial towns gave a sense of belonging and identity. Consequently, as industry disappeared so too did the aforementioned, leaving isolation. It's akin to worlds falling apart.
2.) Of industrial decline, 'the heritage industry moves in when people don't know who they are anymore and have to focus on who they were instead'.
3.) Orr's transparent recollections of her mother's narcissism and how they haunted her up until her death are tragic. Narcissists - everybody knows one, and everybody IS one to some degree.
4.) Shame is an emotion often confused with pride. It's a largely undiscovered or unresearched human emotion that's so damaging and difficult to deal with.
5.) Her toxic relationship with her mother reveals how a lot of people dismiss their own traumatic experiences because they consider them too small and trivial, and also because of the 'others go through a lot worse' narrative. It doesn't make your experience any less valid or traumatic.
6.) Doing your best to minimise your own needs in favour of someone else's was one of the burdens of her being loved and having a family.
Highly recommend!","Mark Bailey"
"I wanted to like this book. Deborah Orr was one of the columns I always turned to in the Guardian as an insightful journalist and I was looking forward to reading her account of growing up in Scotland around the same time I did.
There are good bits in this book. The accounts of living in those times when heavy industry was at its peak, with most of the town employed or supported by it in some shape or form, through the destruction of that in Scotland and, well almost everywhere else, by the Tory government lead by Margaret Thatcher were recognisable. Leaving home to go to University was a big thing then when so few people went. Young women were routinely sexually harassed and simultaneously roundly condemned for being “easy”. Parents, born in the aftermath of the second world war, had of relationships with food, born out of rationing and also held opinions about black people and gay people that are appalling. Deborah’s parents and so did almost everyone else. These are recognisable themes and it was good to read about these from a Scottish perspective written by a talented writer.
But..... The constant reference to everyone who is not Deborah as being narcissistic was just so wearing. Nothing is ever her fault and she is never to blame. I kept hoping it would stop but from about 20% of the book onwards, the same stuff keeps on and on. Her mother prefers her brother. Her father worships her but her mother gets in the way. Her brother had it easy because he’s a boy (that’s probably true). She lied, stole, took drugs, had abortions but it was all someone else’s fault. Everyone else she meets is a narcissist but self reflection is a rare beast in this book. And that’s a real shame. I wanted to like it but the psychobabble just got in the way. And I wanted to know what it was like to be married to Will Self. But now I never will.","Kim"
"I loved this book. I was born a couple of years before Deborah Orr, and while we grew up in different home nations, there are some uncanny similarities in our early years upbringing. We both went through our childhood with adequate but limited family means, and attitudinal comparisons between our parents are really strong in a lot of areas. Some of the anecdotal writing resonates so very clearly with me that I can hear the words being said by her mother emanating from my mum’s mouth too. The book captures so much of what I remember from those times: small memories that she depicts triggered similar recollections in me, sometimes tiny things that happened when I was very young that, it seems, weren’t exclusive to my upbringing even though they appeared so at the time.
The book is beautifully written, its style reflective rather than purely narrative. It’s clear the author needed to write it to come to terms with the relationships she had in her childhood and to compartmentalise experiences that she’d gone through, both good and not so good. The analysis that was the result of this process was apparently both cathartic and essential, and I applaud her honesty and determination to confront issues that might otherwise have stayed suppressed. The book is powerful, gripping and raw, it’s funny in places, and at times very moving. I loved every page.","Catherine Fleet"
"3.5 Stars!
“I didn’t know, until recently, that denying another person their own feelings is the foundation of all emotional abuse.”
Declining industry, rape, bullying, narcissistic parents and a succession of truly awful men don’t normally make for the most happy and upbeat of memoirs, but there we go. This is a far more coherent and satisfying memoir than her ex-husband’s which came out last year.
Orr examines her deeply complicated relationship with her prickly mother and stoical father. Her descriptions of working class life growing up in Motherwell are so well told and she never shies away from the darker elements, giving us a fully fleshed out account of the many hardships she encountered and how she dealt with them.
There is plenty of wisdom and insight here and Orr reaches some really compelling conclusions about motivations and roles people play with specific emphasis on Karpman’s drama triangle, which was certainly illuminating. This reminded me very much of Kerry Hudson’s “Lowborn” and also covers similar social and psychological terrain as Andrew O’Hagan’s “The Missing” and Damian Barr’s “Maggie and Me”.","Keen Reader"
"Very difficult to rate memoirs.
I thought the structure and much of the writing was messy.
This felt very much like a work in progress, which I guess shouldn't always be considered a bad thing. People are works in progress, and Deborah Orr obviously was very much so.
Sad she passed away, I don't think she even saw the publication day.","Imke"
"I actually put off reading this as I thought it might be a bit brutal. It pulls no punches and is very honest but it's also very funny and full of affection. A really insightful depiction of family dynamics with a whole lot of other stuff - social history, geography even nature writing - thrown in. Just tragic that there won't be any more books.","Schopflin"
"I enjoyed this, but I think the blurb made it sound like quite a different book.","Eloise Mcallister"
"Dull and repetitive. Deborah Orr had a v interesting life yet randomly chose to focus her memoir on the most boring phase of it (does anyone have an interesting childhood I ask?? Except for like the Von Trapp kiddies??) Improved in the second half but by then I was PMSing so felt too grumpy to care","Katie"
"In many respects I liked this a lot. As a good memoir should, it describes with bleak honesty and reflective understanding the joys, miseries and privacies of childhood, and the deep ambiguity of her relationship with her parents. Their contradictions are laid bare; her father was - to her- a working class hero, a steelworker who was made redundant when Ravenscraig was closed, and who, like her mother, voted twice for Margaret Thatcher, and was anti-Labour, anti union, homophobic and racist (at least till shortly before his death). Her mother shared with him a fear that their daughter would leave (as she did), would outgrow them (do we ever outgrow our parents?) and would find herself with people who would not understand her (St Andrews University filled this role.) To try to control her they read all her letters in and out. It's painful; the childhood sections are more joyful - wandering in the woods despite the Bad Men there, or the school where there was effectively a grammar school tucked inside a Comprehensive. And for the flavour of the period, there's always the Vesta curry.
But somewhere along the line, Orr must have had a therapist who taught her all about narcissism. This is introduced so often I became irritated, much preferring her own reflections without this frame.","Katedurie50"
"‘Motherwell’, Deborah Orr’s memoir of her formative years in this town and her later escape to university and beyond, is a searing, honest and incredibly moving account of a child of the 60s and teenager of the 70s. Many of the political references and domestic detail cast me back to my own, albeit different, youth and, for these details alone, this may well be a fascinating read for our children’s generation as well. How they might wonder at our naivety, our pleasure over the most basic of toys, the knowledge that we had to make our own entertainment day in, day out!
But this is not an account seen through the haze of rose-tinted spectacles. Deborah Orr wipes away any nostalgic miasma firmly and effectively. Instead, the lens are polished ferociously and her troubled relationship with her family laid bare. However, neither is this a misery memoir in the expected sense. Orr is loved by her parents; they encourage her in her interests and are proud of her academic achievements – as long as they fit in with their world view. She is to stay at home, keeping her mother company until she marries and has a family of her own. Many younger readers will be amazed that this Victorian attitude prevailed into the 1980s. However, it was not so unusual, particularly for working families living in close-knit communities, many of whom had scant opportunity for change.
Whilst it is hard to stomach the everyday little cruelties dealt Orr as she began to fashion a life for herself, it is really uplifting to read how she slowly manages to become an independent woman involved in work that she loves. It is even more incredible to see her quest for the truth as she re-visits the parenting she received, and its effect on her and her brother, her parents’ relationship, and why her own relationships were so often toxic. Much of this is explored through her understanding of narcissism which leads on to her argument for its prevalence in the West.
This is an engrossing and thought-provoking read: moving, shocking, funny and uplifting. What a tragedy that they are amongst her final words in print.
My thanks to NetGalley and Orion Publishing Group for a copy of this novel in exchange for a fair review.","Sarah"
"Moving and all very familiar of growing up in working class Lanarkshire, but at times I found Orr’s writing of her relationship with her mum and her mum’s narcissistic qualities difficult to read in one go, quite heavy going.
Her description of the choice to move away from Motherwell for uni being unusual also rings true, as does her experience of feeling alien as a Scottish person with a ‘thick’ accent in a ‘Scottish Uni’ - felt very true of my time in Edinburgh.
Did make me want to go home and go a walk down the Duchess Park","Paula Glancy"
"Read for the Blackwells book group. This is a harsh account of Deborah Orr’s childhood in Motherwell.
The family bureau offered up an interesting insight into her childhood from the selection of items that had been retained by her parents. But she alternated between acknowledging the love and support she was given by her parents, then was fiercely critical of them. I also felt the sections on narcissism were repetitive.","Catherine Jeffrey"
"This absolutely brilliant memoir about home, family, being a woman explores perfectly the complex web of experiences and relationships that make up our lives. I don't read much non-fiction but when I do I really enjoy it. I'm gutted I didn't get to discuss this at the book club Claire is running! Nevertheless I'm so glad I came across it through the book club!","Claire"
"Gripping, touching, tragic - the story of a woman caught in a contradictory, toxic relationship with her parents - who are caught in a contradictory, toxic relationship with the values of post-war Britain. Also a portrait of a time before Thatcher and a tale of how class is reproduced in the nuclear family - and of the always pretty toxic masculine. Very well written. I had never heard of Deborah Orr before and in the end, I almost cried when I found out she died before this was published. This was given to me by a friend who likened this book to Didier Erebon. He was wrong - this has much more emotional impact.","Electric"
"Feel very conflicted about this book. I really wanted to and was ready to love it.
A really important piece of history, life in Motherwell in the 60s-70s seen through the eyes of a child.
Struggled with the her repetitive psychoanalysis of her family attaching psychiatric diagnoses to them and in parts seemed poorly written. Felt its different attempts to connect to both historical and present politics didn’t work at times with some exceptions.
But ultimately feel this book was informed by a huge amount of trauma so who am I to judge it with stars?? It must have been really hard and sad to write and that was also the reading experience.","Danielle Maria"
"Really fascinating book about growing up in Motherwell in the 1960s-80s. I found the societal themes spoke to me the most - dealing with a half English, half Scottish identify, what it was to be Scottish at this pivotal moment, the fast changing labour market, feminity and the patriarchy and thought Orr used key points in her biography to cleverly segue into these broader themes. What fell down in this book for me, as seems to be the case for other reviewers, is the exploration of narcissism, as I felt she needed to develop what the idea was more strongly at the start if she was going to continually refer to it throughout the book.","Kiana"
"This was presented in 5, 15-minute segments by the BBC. I enjoyed listening to it, but nothing stood out to remember it by.","Paula"
"Brilliant, honest and ever so sad as Deborah Orr died soon after finishing the book. The book is a testament to the time she grew up in Motherwell and the changes she witnessed. Her parents were products of the 1930s. Tough and bordering on the cruel and never being able to show their love to their children properly. That Deborah Orr's mother wanted her to have the same life that she had lived is very sad. That Deborah did not is testament to her strength and sheer bloody-mindedness.
She is a sad loss.","Richard"
"Deborah Orr, the well known journalist shares the results that the parenting she received had on her life. It is poignant that she struggled for so much of her life, and then died so early, and that this book was published posthumously. There is anger, there is love, there is disappointment, and she throws her own passive aggressive bombs in the direction of her brother and her ex husband. I had no idea who she was married to until I googled it, and am not surprised her marriage was not easy.","Ruth This one"
"Well written, honest and sharp review of childhood that was difficult to read at times.","Sue Garwood"
"Kort na het overlijden van haar moeder keer Deborah Orr terug naar haar ouderlijk huis in het Schotse industriële stadje Motherwell om de nagelaten spullen uit te zoeken. Terwijl ze bezig is met het opruimen van de secretaire dringen de herinneringen zich aan haar op en komen de emoties waar ze zolang tegen gevochten heeft weer terug.
De opbouw van deze memoire is prachtig, ieder hoofdstuk is vernoemd naar een voorwerp uit de secretaire waar alle waardevolle bewijsstukken gearchiveerd. Hiermee brengt ze niet alleen haar eigen leven in kaart, maar schetst ze ook een levendig portret van het leven in de jaren zestig en zeventig in Motherwell. Haar Engelse moeder heeft zich altijd een buitenstaander gevoeld in het Schotse Motherwell, terwijl haar vader helemaal opging in zijn werk in de mijnbouw. Toch zijn haar ouders vastberaden om er samen iets van te maken en Orr blikt met weemoed terug op deze liefdevolle vroege herinneringen.
Wanneer ze ouder wordt beginnen er steeds meer barsten te ontstaan, vooral in de relatie die zij met haar moeder heeft. Orr wil zich niet conformeren aan de traditionele opvattingen en kiest ervoor om haar eigen weg te gaan wat leidt tot veel spanningen en een diepe breuk tussen haar en haar ouders.
De herinneringen zijn schrijnend om te lezen. Gezien willen worden, gewaardeerd willen worden, daar alles voor over hebben, maar toch keer op keer afgewezen worden, en steeds weer geremd worden door het narcisme van de ander. In eerste instantie lijkt deze verandering vrij subtiel, maar gaandeweg wordt duidelijk hoezeer Orr hierdoor gevormd wordt in haar ontwikkeling als mens.
Deborah Orr weet de impact van de steeds opnieuw onbeantwoorde moederliefde treffend in woorden te vangen, en de emotionele en traumatische impact die dit op haar heeft is groot. Wat ik vooral mooi vind is dat er veel ruimte is voor alle subtiliteiten, de hiaten, het verschil tussen wat de buitenwereld ziet en wat zij ervaart, waarmee ze duidelijk maakt dat trauma, vooral trauma wat zo diep in het wezen van je zijn woekert, zo ontzettend onzichtbaar kan zijn wanneer je zelf niet opgegroeid bent in een dergelijke slangenkuil.","Beatrix Minkov"
"What a let down. If you are looking for a story or memoir about growing up in the harsh industrial west of Scotland in the 1970s and 1980s, which is what this book seemed to be about, then this is not it. Instead, the author uses her memoir as a therapy session where she eviscerates the memory of her parents and blames them for everything that has gone wrong in her life (there's some vague, hooky attempt at psychoanalysis and 'narcissistic' theory throughout, none of it very convincing)- except it's hard to see what they actually did wrong. We are told about childhood traumas, but not a single thing from the author's childhood seems remotely traumatic. She got told off for wearing an old pinafore outdoors, she got told off for taking her mother's nail varnish, she got bullied at school, but nothing worse than I, or a million other children, saw or experienced in our own school days. I honestly can't remember much her parents did wrong, other than being victims of their time and place they were born into. They weren't that poor, they always had a house and food, they struggled for work at times, but generally scraped through, like most others. I have no idea why Orr was so bitter towards them. Strangely, real traumatic events which happened after she had left home - two rapes, an abortion - are brushed over in a couple of pages, and still seem to somehow have been her parent's fault. Meanwhile, weird tangents get more consideration - like a thesis on DC Thomson controlling the Scottish media(?). Orr comes across as bitter, selfish, self-centred, petty and mean-spirited - which is exactly what she is accusing her parents of being. On top of that, the book is really badly written. There is no structure, it's just a rambling tirade in need of a good edit. Orr also has some really annoying habits like putting into CAPITALS words that are IMPORTANT for EMPHASIS when there is no need to, and, worse. Writing. In. One. Word. Sentences. To. Make. A. Point. As well as her parents and everyone she's ever known - ALL. MEN. ARE. BAD. I don't like to be mean-spirited, or have a go at authors work in reviews, but as Orr spends the entire book stomping down on everyone in her life she ever met, it somehow feels okay here. This is a mess, and a nasty one at that.","Iain"
"I think I will think about this book for some time as it resonates with me in all kinds of ways. The author talks about her childhood, growing up in a small Scottish housing estate through to her mid twenties, with small tidbits about her marriage thrown in. Being from a similar vintage as her, the cultural references made sense to me, and that feeling of wanting to get away from home at 18, heading off to University and trying to have a relationship with your parents as an adult. Also the references to the Bureau - that piece of furniture that seemed to be in all our parents houses, holding all the important papers that you were never allowed to ferret around in or look at, yet once our parents have died you find yourself in all the bits of paper artifacts in its drawers and nooks and crannies.
I felt for her, that even when she was an adult living her own life, her mother still used every opportunity to disapprove of her choices and that you are left with the impression that she never felt particularly loved. Sad too, that not long after the book was published she herself died of breast cancer, and never got to see the relationship from a greater distance of time, when she may have been more forgiving of her parents behavior.","Julie"
"Book rating: 4 / 5
Audiobook rating: 5 / 5 - absolute perfection
A deeply introspective memoir, that is also a great sociological analysis of traumas of a post-war generation, patriarchy, industrial Scottish town and it's demise brought down by thatcherism and everything in between: and there's a lot of it.
I had my doubts about the recurring theme of narcissism and attempts to fit the Orr's family situation into the mould of psychological theories of narcissism: it seemed to me to be trying to hard at times, but other than that this was a very good and extremely honest book.
The audiobook was just excellent: the narrator, owner of a strong Scottish accent I love so much, did fantastic impressions of Orr's mother's Essex accent, switching between the two with ease. She did an excellent job at narrating this.","dot."
"This book will stay with me for a long time, it’s a very emotional read.","Briony"
"A beautifully written memoir.","Jenny Cooke (Bookish Shenanigans)"
"This was a book of two halves for me: I found the first half a struggle but really enjoyed the second. So if you’re reading these reviews to see if you should carry on, my advice is to persevere. My main objection to the first half is that the behaviour of the parents didn’t seem to justify the writer’s endless complaints. Many people have had to cope with worse than the ‘narcissistic personality disorder’ of her parents. The term ‘narcissism’ is repeated frequently through the text. The parents were admittedly odd and flawed, but nowhere near as cruel as some we are too sadly familiar with from other ‘misery memoirs’.
However, even in this early section I really enjoyed the social history – the food, environment, mannerisms, clothing, etc - which the writer deftly incorporated. Children notice so much - all eyes and sensitivity.
By the second half, when the child becomes a teenager, my interest grew as the scope widened to include school and in particular the local economy, dominated by the Motherwell steelworks. In many ways, this book traces not just the author’s life but that of British manufacturing. She was just old enough to remember and record the miner’s strikes and rise of Thatcherism, and later as a journalist she had access to events that marked the decline of a manufacturing based economy. We are living today with the aftereffects of that decline, as though the controlled explosion of factory cooling towers still reverberates through the land.
Her mother’s final years are hard to read about, as the patterns of behaviour laid down in childhood still shadow their final years together. In places there’s an acceptance of her mother and the difficulty they both have in finding resolution. She still complains about her mother, but with more understanding of the limitations and expectations imposed on that earlier generation.","Katherine"
"Motherwell is the heart-breaking, poignant story of Deborah Orr’s difficult relationship with her mother, and her home town. But this is no misery memoir. There is a lot of humour among the pathos. It feels like she is trying to make sense of her past and move on. It must have been cathartic to get it all off her chest. It is a real shame that she did not live long enough to reap the benefits.
Having grown up in another Lanarkshire town less than ten miles north of Motherwell, and only a few years earlier than Deborah Orr, reading this book took me right back to what it was like growing up there in the 60s and 70s. She captures the place and time with such attention to detail; it reminded me of stuff I’d long forgotten.
Although set in central Scotland, there is a universality to this story. Her parents, Win and John, do not come out of this well, but you can relate to their inability to understand their clever daughter and how the world had changed. That she got out and made a successful life for herself is testament to her strength of character.
I always enjoyed reading her columns in the Guardian; she had a unique voice. Who knows what she might have gone on to accomplish next, had her life not been cut so cruelly short.","Sandra"
"I found this book quite difficult to get into, perhaps it was the amount of information Orr was giving.
However as I read on I found I could relate to so many aspects of life in the 60’s and 70’s. I began to love the detail of the information and the authors dilemmas. So many of the scenarios, facts and detail were also part of my life during those years. I was reminded of Issues around parenting and the views of my grandparents that had obviously informed my mums parenting of me and my brother. So interesting to hear this from someone else’s perspective.
On conclusion I was sad to read the author passed away in 2019 aged only 57 years old. So much of her life had been spent trying to please and understand her parents. She had suffered but survived and was a very successful writer. It felt that on reflection writing this memoir reminded the author of the pride her parents felt but were unable to express in words.","Nicola"
"A thought provoking and poignant account of growing up in Scotland that will resonant with any working class Scot. As a nation we are harsh on ourselves, quick to condemn and slow to celebrate success. Hopefully we children of the 60’s have instilled more of a sense of self worth in our children (and tell them sometimes it’s ok to blow your own trumpet).
We are all a product of our upbringing but it is so sad that the author was unable to stop blaming the past for her own choices - it’s an easy way to avoid painful truths. I really didn’t rate the psychoanalysis, finding it tedious and self absorbed.
This book successfully navigates through a time of monumental social and economic changes and sadly the devastation of some of the decision made in the 80’s still hangs over these working class communities like a dreich winter day.","Sandra"
"Deborah Orr did a detailed analysis of her childhood, the dynamics within her close family and the way they affected her life afterwards. There is a detailed character study of both her parents. I found it interesting that she had so many clear distant memories because I feel I'm the person I know with the strongest memory and I like to know there are others like me. The concepts of narcissism and how they explained parental behaviour, terrible relationship patterns and populism / dictatorships are explored in detail, as well. And, as a background, there's a lot of information about growing up in Motherwell in the 60s/70s, the changes in the area, politics, mentalities, etc. It wasn't exactly a riveting read (I read it slowly) but in terms of emotional disclosure and psychological analysis it was very rich.","Joana"
